RespondentID,Q1_Emirate,Q2_Age Group,Q3_Gender,Q4_Monthly DisposableI ncome for Perfumes,Q5_Occupation,Q6_Shopping Frequency,Q7_Recent Change,Q8_Price Importance,Q9_Seek Discounts,Q10_Quality Influence,Q11_Pay More For Quality,Q12_Ingredient Attention,Q13_Drawn To Specific Ingredients,Q14_Social Recommendation Effect,Q15_Align With Expectations,Q16_Brand Image Importance,Q17_Prefer Trusted Brands,Q18_Convenience Importance,Q19_Prefer Online Shopping,Q20_Shopping Style Persona Anchor,Q21_Reaction To Income Increase,Q22_Reaction To New Launches,Q23_Influencer Purchase Likelihood,Q24_Most Important Factor,Q25_Products Or Services Wanted,Q26_Additional Feedback
205,Abu Dhabi,26-30,Male,400–800 Dhs,Entrepreneur,Monthly,A change in employment status,Not important at all,Never,Moderately,"Yes, sometimes",Often,Often,Completely,Sometimes,Not important at all,Often,Extremely important,Never,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),"I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,1,Exclusive releases and tester availability.,Refill options and eco-friendly packaging.,More samples with purchases.
206,Dubai,Under 21,Male,Less than 200 Dhs,Engineering,Every 3 months,A change in employment status,Neutral,Often,Moderately,"Yes, sometimes",Rarely,Sometimes,Moderately,Rarely,Not important at all,Often,Neutral,Sometimes,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I increase my spending slightly but remain cautious.,I rarely pay attention to new launches.,3,Fast checkout and loyalty rewards.,Workshops on layering scents.,Add WhatsApp virtual consultations.
207,Dubai,21-25,Female,200-400 Dhs,Education,In Eids and seasons,No significant change in income,Somewhat important,Always,Not at all,"No, not often",Often,Never,Not at all,Never,Extremely important,Always,Not important at all,Rarely,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)","I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,4,Exclusive releases and tester availability.,Refill options and eco-friendly packaging.,Longer return window for unopened items.
208,Abu Dhabi,26-30,Male,800 Dhs and above,Entrepreneur,Monthly,A decrease in disposable income,Not important at all,Never,Very much,"Yes, always",Sometimes,Always,Very much,Rarely,Very important,Rarely,Not important at all,Often,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)","I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,3,Convenient location and parking.,Personalized engraving for gifts.,Extend loyalty tiers with birthday perks.
209,Sharjah,36–40,Female,200-400 Dhs,Education,Every 6 months,A change in employment status,Extremely important,Often,Moderately,"Yes, sometimes",Sometimes,Always,Not at all,Sometimes,Somewhat important,Always,Extremely important,Always,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,2,Convenient location and parking.,Personalized engraving for gifts.,Longer return window for unopened items.
210,Sharjah,31-35,Male,200-400 Dhs,Marketing / Media,Monthly,A change in employment status,Extremely important,Never,Moderately,"Yes, sometimes",Often,Sometimes,Very much,Often,Somewhat important,Sometimes,Very important,Sometimes,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),I save most of my income and spend cautiously.,I wait for reviews before making a purchase.,3,Fast checkout and loyalty rewards.,Arabic oud blends with lighter sillage.,Longer return window for unopened items.
211,Abu Dhabi,36–40,Female,800 Dhs and above,Self-employed,Monthly,A sudden increase in income,Somewhat important,Often,Moderately,"Yes, sometimes",Often,Often,Not at all,Always,Somewhat important,Rarely,Extremely important,Never,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)",I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,2,Product variety and staff knowledge.,Workshops on layering scents.,Improve stock updates online.
212,Abu Dhabi,26-30,Male,Less than 200 Dhs,Marketing / Media,Monthly,No significant change in income,Very important,Rarely,Very much,"No, not often",Sometimes,Sometimes,Very much,Sometimes,Somewhat important,Sometimes,Not important at all,Rarely,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)","I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,2,Authentic brands and easy returns.,Workshops on layering scents.,Longer return window for unopened items.
213,Dubai,41-50,Male,800 Dhs and above,Customer Service and Sales,Monthly,A sudden increase in income,Extremely important,Always,Completely,Neutral,Sometimes,Often,Not at all,Sometimes,Neutral,Sometimes,Not important at all,Rarely,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,3,Product variety and staff knowledge.,Workshops on layering scents.,Add WhatsApp virtual consultations.
214,Dubai,Under 21,Female,400–800 Dhs,Unemployed,Monthly,No significant change in income,Neutral,Never,Slightly,"Yes, sometimes",Never,Rarely,Slightly,Sometimes,Extremely important,Sometimes,Very important,Sometimes,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,2,Online-to-store pickup and fair pricing.,Personalized engraving for gifts.,Offer student and family bundles.
215,Sharjah,26-30,Male,200-400 Dhs,Banking and Finance,Weekly,A change in employment status,Neutral,Often,Slightly,Neutral,Often,Rarely,Not at all,Sometimes,Not important at all,Sometimes,Neutral,Sometimes,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I save most of my income and spend cautiously.,I wait for reviews before making a purchase.,2,Product variety and staff knowledge.,Refill options and eco-friendly packaging.,Add WhatsApp virtual consultations.
216,Abu Dhabi,31-35,Female,200-400 Dhs,Education,In Eids and seasons,A change in employment status,Neutral,Rarely,Slightly,"Yes, sometimes",Sometimes,Never,Not at all,Sometimes,Neutral,Often,Very important,Sometimes,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)",I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,5,Online-to-store pickup and fair pricing.,Workshops on layering scents.,Add WhatsApp virtual consultations.
217,Abu Dhabi,Over 50,Male,400–800 Dhs,Self-employed,Weekly,No significant change in income,Somewhat important,Always,Not at all,"Yes, sometimes",Often,Often,Very much,Rarely,Extremely important,Always,Not important at all,Sometimes,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)","I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,4,Exclusive releases and tester availability.,Workshops on layering scents.,Extend loyalty tiers with birthday perks.
218,Abu Dhabi,41-50,Female,800 Dhs and above,Health,Monthly,A decrease in disposable income,Not important at all,Often,Slightly,"Yes, always",Often,Never,Slightly,Sometimes,Very important,Sometimes,Very important,Sometimes,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,4,Exclusive releases and tester availability.,Refill options and eco-friendly packaging.,Offer student and family bundles.
219,Abu Dhabi,31-35,Male,400–800 Dhs,Entrepreneur,Weekly,A decrease in disposable income,Very important,Often,Slightly,"No, never",Sometimes,Sometimes,Slightly,Often,Not important at all,Sometimes,Not important at all,Always,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)",I save most of my income and spend cautiously.,I rarely pay attention to new launches.,4,Exclusive releases and tester availability.,Travel-size discovery sets.,Add WhatsApp virtual consultations.
220,Abu Dhabi,26-30,Female,400–800 Dhs,Banking and Finance,Every 3 months,A change in employment status,Not important at all,Sometimes,Slightly,Neutral,Sometimes,Often,Moderately,Often,Somewhat important,Rarely,Not important at all,Often,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)",I save most of my income and spend cautiously.,I wait for reviews before making a purchase.,5,Product variety and staff knowledge.,Arabic oud blends with lighter sillage.,Add WhatsApp virtual consultations.
221,Dubai,21-25,Male,400–800 Dhs,Unemployed,Every 3 months,No significant change in income,Very important,Always,Not at all,"Yes, always",Often,Sometimes,Not at all,Often,Neutral,Always,Extremely important,Sometimes,I prefer trusted brands and products that are familiar and reliable. (Dependables),I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,2,Product variety and staff knowledge.,Arabic oud blends with lighter sillage.,Longer return window for unopened items.
222,Abu Dhabi,31-35,Female,200-400 Dhs,Engineering,Every 6 months,No significant change in income,Somewhat important,Sometimes,Very much,"Yes, sometimes",Rarely,Often,Moderately,Never,Somewhat important,Always,Not important at all,Never,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)","I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,4,Online-to-store pickup and fair pricing.,Workshops on layering scents.,Longer return window for unopened items.
223,Dubai,26-30,Male,800 Dhs and above,Marketing / Media,Yearly,No significant change in income,Somewhat important,Sometimes,Very much,"Yes, always",Often,Never,Moderately,Often,Extremely important,Sometimes,Very important,Often,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)","I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,5,Fast checkout and loyalty rewards.,More niche fragrance houses.,More samples with purchases.
224,Ajman,41-50,Male,Less than 200 Dhs,Entrepreneur,Every 3 months,No significant change in income,Very important,Often,Very much,"No, not often",Sometimes,Often,Moderately,Often,Extremely important,Rarely,Extremely important,Often,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),I increase my spending slightly but remain cautious.,I rarely pay attention to new launches.,2,Product variety and staff knowledge.,Travel-size discovery sets.,Improve stock updates online.
225,Abu Dhabi,26-30,Female,200-400 Dhs,General Employee,Every 3 months,No significant change in income,Neutral,Never,Completely,"Yes, always",Often,Sometimes,Completely,Rarely,Neutral,Rarely,Neutral,Often,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)",I save most of my income and spend cautiously.,I wait for reviews before making a purchase.,4,Online-to-store pickup and fair pricing.,More niche fragrance houses.,Add WhatsApp virtual consultations.
226,Dubai,Over 50,Male,Less than 200 Dhs,Education,Monthly,A change in employment status,Neutral,Often,Slightly,"Yes, sometimes",Sometimes,Sometimes,Very much,Often,Not important at all,Often,Not important at all,Often,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)",I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,2,Convenient location and parking.,Personalized engraving for gifts.,Offer student and family bundles.
227,Sharjah,21-25,Male,800 Dhs and above,Law,Monthly,No significant change in income,Neutral,Always,Completely,Neutral,Rarely,Often,Completely,Often,Somewhat important,Rarely,Extremely important,Sometimes,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)","I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,4,Authentic brands and easy returns.,Refill options and eco-friendly packaging.,Longer return window for unopened items.
228,Dubai,26-30,Female,800 Dhs and above,Entrepreneur,Every 3 months,A sudden increase in income,Not important at all,Sometimes,Very much,"Yes, sometimes",Rarely,Always,Slightly,Sometimes,Very important,Sometimes,Very important,Sometimes,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,3,Exclusive releases and tester availability.,More niche fragrance houses.,Offer student and family bundles.
229,Dubai,Under 21,Male,200-400 Dhs,Retired,Monthly,No significant change in income,Very important,Always,Completely,"Yes, sometimes",Always,Often,Very much,Never,Neutral,Always,Not important at all,Sometimes,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)",I save most of my income and spend cautiously.,I wait for reviews before making a purchase.,3,Online-to-store pickup and fair pricing.,Personalized engraving for gifts.,Add WhatsApp virtual consultations.
230,Fujairah,26-30,Male,200-400 Dhs,Retired,Every 6 months,No significant change in income,Extremely important,Sometimes,Moderately,Neutral,Often,Often,Not at all,Often,Extremely important,Never,Extremely important,Often,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)",I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,2,Online-to-store pickup and fair pricing.,Travel-size discovery sets.,More samples with purchases.
231,Dubai,36–40,Male,800 Dhs and above,Entrepreneur,Monthly,A sudden increase in income,Extremely important,Rarely,Moderately,"Yes, sometimes",Sometimes,Often,Completely,Never,Somewhat important,Often,Somewhat important,Always,I prefer trusted brands and products that are familiar and reliable. (Dependables),I save most of my income and spend cautiously.,I get excited and want to try them immediately.,1,Online-to-store pickup and fair pricing.,Travel-size discovery sets.,Add WhatsApp virtual consultations.
232,Abu Dhabi,Under 21,Female,400–800 Dhs,Engineering,Every 3 months,A sudden increase in income,Somewhat important,Often,Slightly,"Yes, sometimes",Sometimes,Often,Completely,Never,Neutral,Often,Neutral,Rarely,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)",I save most of my income and spend cautiously.,I rarely pay attention to new launches.,3,Fast checkout and loyalty rewards.,Workshops on layering scents.,More samples with purchases.
233,Dubai,26-30,Female,200-400 Dhs,Retired,Monthly,A sudden increase in income,Not important at all,Always,Very much,"Yes, always",Rarely,Rarely,Slightly,Always,Neutral,Rarely,Neutral,Always,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)",I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,3,Online-to-store pickup and fair pricing.,Personalized engraving for gifts.,Longer return window for unopened items.
234,Dubai,26-30,Female,400–800 Dhs,Customer Service and Sales,Monthly,A sudden increase in income,Very important,Rarely,Very much,"No, not often",Sometimes,Rarely,Completely,Often,Not important at all,Always,Very important,Sometimes,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),"I spend more on luxury items, including perfumes and beauty products.",I rarely pay attention to new launches.,5,Online-to-store pickup and fair pricing.,Travel-size discovery sets.,Extend loyalty tiers with birthday perks.
235,Ras Al-Khaimah,21-25,Female,200-400 Dhs,Self-employed,Every 3 months,No significant change in income,Extremely important,Often,Completely,"Yes, sometimes",Rarely,Never,Moderately,Often,Not important at all,Rarely,Very important,Often,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)",I increase my spending slightly but remain cautious.,I rarely pay attention to new launches.,5,Fast checkout and loyalty rewards.,Refill options and eco-friendly packaging.,Offer student and family bundles.
236,Ajman,31-35,Female,200-400 Dhs,Unemployed,Every 6 months,A change in employment status,Very important,Sometimes,Moderately,"Yes, sometimes",Sometimes,Often,Completely,Rarely,Somewhat important,Sometimes,Not important at all,Never,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)",I increase my spending slightly but remain cautious.,I rarely pay attention to new launches.,3,Convenient location and parking.,Travel-size discovery sets.,Extend loyalty tiers with birthday perks.
237,Abu Dhabi,31-35,Female,200-400 Dhs,Entrepreneur,Every 6 months,No significant change in income,Neutral,Often,Very much,Neutral,Often,Rarely,Moderately,Often,Very important,Never,Somewhat important,Often,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),"I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,3,Fast checkout and loyalty rewards.,Refill options and eco-friendly packaging.,Add WhatsApp virtual consultations.
238,Sharjah,36–40,Male,200-400 Dhs,Customer Service and Sales,Monthly,A change in employment status,Somewhat important,Often,Moderately,Neutral,Often,Often,Slightly,Never,Extremely important,Always,Very important,Sometimes,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,5,Product variety and staff knowledge.,More niche fragrance houses.,Improve stock updates online.
239,Dubai,41-50,Female,800 Dhs and above,Banking and Finance,Weekly,No significant change in income,Extremely important,Always,Completely,"Yes, sometimes",Always,Sometimes,Slightly,Sometimes,Somewhat important,Sometimes,Somewhat important,Rarely,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)",I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,3,Product variety and staff knowledge.,Workshops on layering scents.,Longer return window for unopened items.
240,Sharjah,21-25,Female,800 Dhs and above,Banking and Finance,Weekly,A change in employment status,Not important at all,Sometimes,Completely,"Yes, sometimes",Often,Sometimes,Not at all,Never,Somewhat important,Always,Not important at all,Never,I prefer trusted brands and products that are familiar and reliable. (Dependables),"I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,2,Convenient location and parking.,Travel-size discovery sets.,More samples with purchases.
241,Dubai,41-50,Prefer not to say,Less than 200 Dhs,Banking and Finance,Monthly,A sudden increase in income,Extremely important,Always,Moderately,"No, never",Sometimes,Often,Moderately,Always,Extremely important,Often,Somewhat important,Often,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)",I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,5,Convenient location and parking.,More niche fragrance houses.,Offer student and family bundles.
242,Abu Dhabi,36–40,Male,400–800 Dhs,Marketing / Media,Monthly,A decrease in disposable income,Extremely important,Never,Completely,Neutral,Always,Always,Moderately,Rarely,Not important at all,Never,Very important,Often,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)",I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,4,Online-to-store pickup and fair pricing.,Personalized engraving for gifts.,Add WhatsApp virtual consultations.
243,Abu Dhabi,31-35,Female,200-400 Dhs,Education,Weekly,No significant change in income,Neutral,Rarely,Not at all,"Yes, always",Sometimes,Sometimes,Completely,Sometimes,Extremely important,Often,Neutral,Never,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),"I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,1,Convenient location and parking.,Travel-size discovery sets.,Add WhatsApp virtual consultations.
244,Abu Dhabi,26-30,Male,Less than 200 Dhs,Customer Service and Sales,Every 3 months,No significant change in income,Neutral,Never,Moderately,"Yes, sometimes",Rarely,Sometimes,Moderately,Often,Somewhat important,Rarely,Somewhat important,Always,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)","I spend more on luxury items, including perfumes and beauty products.",I rarely pay attention to new launches.,3,Convenient location and parking.,Personalized engraving for gifts.,More samples with purchases.
245,Abu Dhabi,26-30,Female,800 Dhs and above,Banking and Finance,Monthly,No significant change in income,Neutral,Never,Very much,"Yes, sometimes",Sometimes,Sometimes,Completely,Often,Extremely important,Rarely,Extremely important,Sometimes,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,4,Product variety and staff knowledge.,Arabic oud blends with lighter sillage.,Improve stock updates online.
246,Abu Dhabi,Over 50,Female,800 Dhs and above,Marketing / Media,Monthly,A sudden increase in income,Neutral,Always,Very much,"Yes, sometimes",Often,Sometimes,Slightly,Rarely,Very important,Rarely,Very important,Often,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)","I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,3,Authentic brands and easy returns.,Personalized engraving for gifts.,Longer return window for unopened items.
247,Dubai,36–40,Female,400–800 Dhs,Senior & Managerial positions,In Eids and seasons,A decrease in disposable income,Neutral,Sometimes,Slightly,"No, not often",Rarely,Often,Not at all,Often,Not important at all,Rarely,Somewhat important,Never,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),I increase my spending slightly but remain cautious.,I rarely pay attention to new launches.,3,Product variety and staff knowledge.,Travel-size discovery sets.,Improve stock updates online.
248,Abu Dhabi,Under 21,Male,800 Dhs and above,Engineering,In Eids and seasons,A sudden increase in income,Somewhat important,Always,Not at all,"Yes, always",Always,Always,Not at all,Sometimes,Very important,Often,Somewhat important,Sometimes,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)",I increase my spending slightly but remain cautious.,I rarely pay attention to new launches.,1,Product variety and staff knowledge.,Personalized engraving for gifts.,Extend loyalty tiers with birthday perks.
249,Sharjah,26-30,Male,400–800 Dhs,Retired,Weekly,No significant change in income,Somewhat important,Sometimes,Very much,"Yes, always",Often,Sometimes,Very much,Rarely,Somewhat important,Rarely,Somewhat important,Always,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)",I save most of my income and spend cautiously.,I get excited and want to try them immediately.,2,Exclusive releases and tester availability.,Travel-size discovery sets.,More samples with purchases.
250,Ajman,26-30,Male,200-400 Dhs,Health,Monthly,A sudden increase in income,Very important,Sometimes,Completely,Neutral,Sometimes,Sometimes,Not at all,Never,Extremely important,Often,Very important,Often,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,5,Convenient location and parking.,Personalized engraving for gifts.,Add WhatsApp virtual consultations.
251,Dubai,21-25,Female,400–800 Dhs,Health,Every 3 months,No significant change in income,Somewhat important,Sometimes,Not at all,Neutral,Sometimes,Sometimes,Slightly,Rarely,Very important,Always,Somewhat important,Sometimes,I prefer trusted brands and products that are familiar and reliable. (Dependables),"I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,2,Online-to-store pickup and fair pricing.,More niche fragrance houses.,Improve stock updates online.
252,Dubai,26-30,Female,400–800 Dhs,Unemployed,Monthly,A sudden increase in income,Extremely important,Sometimes,Slightly,"Yes, always",Sometimes,Rarely,Very much,Often,Extremely important,Sometimes,Very important,Sometimes,I prefer trusted brands and products that are familiar and reliable. (Dependables),I increase my spending slightly but remain cautious.,I rarely pay attention to new launches.,3,Fast checkout and loyalty rewards.,Travel-size discovery sets.,Add WhatsApp virtual consultations.
253,Abu Dhabi,31-35,Male,Less than 200 Dhs,Retired,Monthly,A change in employment status,Neutral,Often,Completely,"Yes, always",Rarely,Rarely,Moderately,Sometimes,Not important at all,Often,Neutral,Often,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)",I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,1,Product variety and staff knowledge.,Refill options and eco-friendly packaging.,Add WhatsApp virtual consultations.
254,Fujairah,31-35,Female,Less than 200 Dhs,Self-employed,Every 6 months,A sudden increase in income,Extremely important,Rarely,Slightly,"Yes, always",Never,Always,Very much,Often,Very important,Always,Very important,Sometimes,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)",I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,1,Convenient location and parking.,Travel-size discovery sets.,More samples with purchases.
255,Ajman,31-35,Female,200-400 Dhs,Health,Every 6 months,A change in employment status,Not important at all,Often,Completely,"Yes, sometimes",Always,Never,Very much,Sometimes,Extremely important,Often,Extremely important,Rarely,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),"I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,2,Convenient location and parking.,Arabic oud blends with lighter sillage.,More samples with purchases.
256,Abu Dhabi,26-30,Male,800 Dhs and above,Marketing / Media,Monthly,A sudden increase in income,Neutral,Sometimes,Moderately,"No, not often",Often,Rarely,Completely,Never,Somewhat important,Often,Very important,Always,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)","I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,3,Convenient location and parking.,Workshops on layering scents.,Offer student and family bundles.
257,Dubai,21-25,Male,800 Dhs and above,General Employee,Yearly,No significant change in income,Very important,Sometimes,Slightly,"Yes, sometimes",Rarely,Rarely,Slightly,Sometimes,Not important at all,Never,Somewhat important,Sometimes,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),"I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,4,Fast checkout and loyalty rewards.,Personalized engraving for gifts.,Extend loyalty tiers with birthday perks.
258,Ajman,21-25,Female,200-400 Dhs,General Employee,Every 6 months,A sudden increase in income,Extremely important,Always,Very much,Neutral,Rarely,Sometimes,Slightly,Sometimes,Somewhat important,Sometimes,Neutral,Rarely,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)","I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,3,Convenient location and parking.,More niche fragrance houses.,Offer student and family bundles.
259,Dubai,36–40,Male,800 Dhs and above,Self-employed,Monthly,A change in employment status,Not important at all,Always,Completely,"Yes, always",Always,Rarely,Very much,Often,Very important,Never,Not important at all,Often,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,5,Exclusive releases and tester availability.,Refill options and eco-friendly packaging.,Extend loyalty tiers with birthday perks.
260,Abu Dhabi,21-25,Female,800 Dhs and above,Health,Every 3 months,No significant change in income,Somewhat important,Always,Completely,"Yes, always",Always,Always,Moderately,Sometimes,Neutral,Often,Neutral,Often,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),I increase my spending slightly but remain cautious.,I rarely pay attention to new launches.,3,Product variety and staff knowledge.,More niche fragrance houses.,Add WhatsApp virtual consultations.
261,Abu Dhabi,41-50,Female,400–800 Dhs,Education,Every 6 months,A sudden increase in income,Very important,Rarely,Moderately,Neutral,Always,Always,Completely,Always,Somewhat important,Sometimes,Somewhat important,Always,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),"I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,3,Online-to-store pickup and fair pricing.,Workshops on layering scents.,Offer student and family bundles.
262,Dubai,41-50,Female,200-400 Dhs,Marketing / Media,Monthly,A sudden increase in income,Very important,Sometimes,Very much,"No, not often",Often,Often,Moderately,Often,Very important,Sometimes,Neutral,Sometimes,I prefer trusted brands and products that are familiar and reliable. (Dependables),I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,2,Product variety and staff knowledge.,Workshops on layering scents.,Extend loyalty tiers with birthday perks.
263,Dubai,36–40,Female,200-400 Dhs,Banking and Finance,Weekly,A sudden increase in income,Somewhat important,Sometimes,Not at all,Neutral,Often,Often,Completely,Never,Extremely important,Always,Very important,Always,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)",I save most of my income and spend cautiously.,I rarely pay attention to new launches.,3,Online-to-store pickup and fair pricing.,Refill options and eco-friendly packaging.,Longer return window for unopened items.
264,Dubai,41-50,Female,Less than 200 Dhs,Unemployed,Monthly,No significant change in income,Neutral,Sometimes,Moderately,"Yes, sometimes",Often,Always,Not at all,Rarely,Very important,Never,Very important,Rarely,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)",I save most of my income and spend cautiously.,I rarely pay attention to new launches.,5,Convenient location and parking.,Arabic oud blends with lighter sillage.,Offer student and family bundles.
265,Dubai,Under 21,Male,800 Dhs and above,Customer Service and Sales,Monthly,A change in employment status,Extremely important,Often,Slightly,Neutral,Often,Often,Completely,Always,Neutral,Sometimes,Somewhat important,Often,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)","I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,5,Online-to-store pickup and fair pricing.,Personalized engraving for gifts.,Extend loyalty tiers with birthday perks.
266,Dubai,Under 21,Male,800 Dhs and above,Marketing / Media,Monthly,A decrease in disposable income,Very important,Never,Completely,Neutral,Never,Rarely,Very much,Sometimes,Somewhat important,Always,Somewhat important,Often,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),"I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,4,Online-to-store pickup and fair pricing.,Workshops on layering scents.,More samples with purchases.
