Q1_Emirate,Q2_Age Group,Q3_Gender,Q4_Monthly DisposableI ncome for Perfumes,Q5_Occupation,Q6_Shopping Frequency,Q7_Recent Change,Q8_Price Importance,Q9_Seek Discounts,Q18_Convenience Importance,Q19_Prefer Online Shopping,Q10_Quality Influence,Q11_Pay More For Quality,Q12_Ingredient Attention,Q13_Drawn To Specific Ingredients,Q14_Social Recommendation Effect,Q15_Align With Expectations,Q23_Influencer Purchase Likelihood,Q16_Brand Image Importance,Q17_Prefer Trusted Brands,Q22_Reaction To New Launches,Q20_Shopping Style Persona Anchor
Fujairah,36–40,Male,200-400 Dhs,Engineering,Monthly,"A change in employment status (e.g., from unemployed to employed)",Extremely important,Always,Slightly,Rarely,Slightly,"No, not often",Slightly,Slightly,Not important at all,Not important at all,1,Slightly important,Sometimes,I only buy if the product is aligned with my preferences and budget.,I ... ( Value Hunters )
Sharjah,Under 21,Female,800 Dhs and above,Unemployed,Every 6 months,"A change in employment status (e.g., from unemployed to employed)",Slightly important,Sometimes,Slightly important,Rarely,Completely,"Yes, always",Extremely important,Extremely important,Not important at all,Not important at all,1,Very important,Sometimes,I wait for reviews before making a purchase.,I ... ( Refined Connoisseurs )
Ras Al-Khaimah,Under 21,Female,800 Dhs and above,Marketing / Media,In Eids and seasons,A decrease in disposable income,Moderately,Sometimes,Moderately,Rarely,Completely,"Yes, always",Extremely important,Extremely important,Not important at all,Not at all,1,Moderately,Sometimes,I wait for reviews before making a purchase.,I ... ( Refined Connoisseurs )
Abu Dhabi,31-35,Male,200-400 Dhs,Education,Every 6 months,"A sudden increase in income (e.g., a raise, bonus, or new job)",Extremely important,Often,Neutral,Sometimes,Very important,Neutral,Slightly important,Slightly,Neutral,Very much,3,Slightly,Sometimes,I wait for reviews before making a purchase.,I ... ( Sprezzatura )
Ras Al-Khaimah,41-50,Prefer not to say,800 Dhs and above,Senior & Managerial positions,Yearly,No significant change in income,Neutral,Sometimes,Slightly important,Rarely,Completely,"Yes, always",Extremely important,Extremely important,Not at all,Not important at all,1,Very important,Sometimes,I wait for reviews before making a purchase.,I ... ( Refined Connoisseurs )
Ras Al-Khaimah,Under 21,Male,400–800 Dhs,Banking and Finance,Weekly,"A change in employment status (e.g., from unemployed to employed)",Completely,Always,Moderately,Rarely,Extremely important,"Yes, always",Extremely important,Very important,Slightly,Moderately,2,Not at all,Never,I only buy if the product is aligned with my preferences and budget.,I ... ( Ascent Beautifiers )
Dubai,26-30,Male,200-400 Dhs,Unemployed,Every 3 months,"A change in employment status (e.g., from unemployed to employed)",Completely,Always,Moderately,Rarely,Slightly,"No, never",Slightly important,Slightly,Not important at all,Not at all,1,Slightly,Rarely,I wait for reviews before making a purchase.,I ... ( Value Hunters )
Umm Al Quwain,Over 50,Prefer not to say,800 Dhs and above,Marketing / Media,Every 3 months,"A change in employment status (e.g., from unemployed to employed)",Slightly,Sometimes,Slightly important,Rarely,Extremely important,"Yes, always",Completely,Completely,Not important at all,Not important at all,1,Very much,Often,I wait for reviews before making a purchase.,I ... ( Luxe Enthusiasts )
Ras Al-Khaimah,26-30,Female,200-400 Dhs,Marketing / Media,Weekly,No significant change in income,Extremely important,Always,Neutral,Sometimes,Neutral,Neutral,Slightly important,Slightly important,Moderately,Neutral,3,Neutral,Sometimes,I wait for reviews before making a purchase.,I ... ( Sprezzatura )
Abu Dhabi,Under 21,Prefer not to say,Less than 200 Dhs,Education,Monthly,"A change in employment status (e.g., from unemployed to employed)",Extremely important,Always,Moderately,Rarely,Slightly important,"No, not often",Slightly important,Slightly important,Not at all,Not important at all,1,Moderately,Sometimes,I get excited and want to try them immediately.,I ... ( Value Hunters )
Ajman,31-35,Prefer not to say,400–800 Dhs,Retired,Every 3 months,"A sudden increase in income (e.g., a raise, bonus, or new job)",Slightly,Rarely,Not at all,Rarely,Slightly,"No, not often",Completely,Extremely important,Not at all,Not important at all,1,Not important at all,Never,I rarely pay attention to new launches.,I ... ( Exotica Seekers )
Abu Dhabi,31-35,Male,800 Dhs and above,Law,Weekly,"A change in employment status (e.g., from unemployed to employed)",Very much,Often,Moderately,Sometimes,Moderately,Neutral,Neutral,Slightly important,Completely,Extremely important,5,Neutral,Often,I wait for reviews before making a purchase.,I ... ( Obligati )
